time="2017-09-29T07:38:29.971861643Z" level=debug msg="Listener created for HTTP on unix (/var/run/docker.sock)"
time="2017-09-29T07:38:29.973612833Z" level=info msg="libcontainerd: new containerd process, pid: 19780"
time="2017-09-29T07:38:29.987496719Z" level=warning msg="containerd: low RLIMIT_NOFILE changing to max" current=1024 max=65536 
time="2017-09-29T07:38:29.987898762Z" level=debug msg="containerd: read past events" count=0 
time="2017-09-29T07:38:29.988015554Z" level=debug msg="containerd: supervisor running" cpus=2 memory=6966 runtime=docker-runc runtimeArgs=[] stateDir="/var/run/docker/libcontainerd/containerd" 
time="2017-09-29T07:38:29.988766302Z" level=debug msg="containerd: grpc api on /var/run/docker/libcontainerd/docker-containerd.sock" 
time="2017-09-29T07:38:31.023127730Z" level=debug msg="Loaded container 25e7b0246d6396c54cf7d8407a6f7f09dd1b5391112c021eafee6fffa2925e6d"
time="2017-09-29T07:38:31.023355272Z" level=debug msg="Loaded container 269100e9608608a4a69a93aa36c7f84716450e4f4e832aa71982006ac971acd5"
time="2017-09-29T07:38:31.023582911Z" level=debug msg="Loaded container 26ddde120ccfe961d55c474745cdd6ad5b66144ff96d826a26654afd6db3c509"
time="2017-09-29T07:38:31.023862036Z" level=debug msg="Loaded container 27f47c37e25460207a267785fa06201cf5bbbeb0cbfc67e220be486cb8939b1f"
time="2017-09-29T07:38:31.024131594Z" level=debug msg="Loaded container 29cd41ba53c276459fc5857477970b5957779079750a72034fe67b30bf8dea04"
time="2017-09-29T07:38:31.024361799Z" level=debug msg="Loaded container 29e06fe5367a7fb338583009101405a8f743ca223cb172fa9121b77c62bf7594"
time="2017-09-29T07:38:31.024656409Z" level=debug msg="Loaded container 29e10d4e7ff0c1f35a1d3c98416d3f8839c27acdc76f4f846830cf188a75dde7"
time="2017-09-29T07:38:31.024958811Z" level=debug msg="Loaded container 29fc7b57a63173041768d74c1faf1fa50001a46870e5873fd9a61c89fe39699b"
time="2017-09-29T07:38:31.025193947Z" level=debug msg="Loaded container 2bcf43c2679c8faa66ac06afe31135946596595a37564c737f576dfcb925a9bf"
time="2017-09-29T07:38:31.025442693Z" level=debug msg="Loaded container 2d902d4b07653410bb96a7d5eb19ca06741e7ed4eefdef01cd34bac2711ea808"
time="2017-09-29T07:38:31.025723101Z" level=debug msg="Loaded container 2e70b6078f743fbd8d81aa9fb34f681aabb565c50680b9b61445d95b6a893c65"
time="2017-09-29T07:38:31.026029546Z" level=debug msg="Loaded container 2e92b533cf37e06eeac30df91954a837a632d73c10615360c43dacbfeb57ee46"
time="2017-09-29T07:38:31.026277504Z" level=debug msg="Loaded container 2eee054e3f1fa6c88564cb093110d0764c9ac8ca4cbbefd408bdaec489e5fc8d"
time="2017-09-29T07:38:31.026514317Z" level=debug msg="Loaded container 2f774494e5585a58702df1de9301129ae694d1676529691610ead13b83162d0c"
time="2017-09-29T07:38:31.026857848Z" level=debug msg="Loaded container 30c435dcca209d42c0364d988f23272dd289246c687654acd5f0af33b41e9757"
time="2017-09-29T07:38:31.027151866Z" level=debug msg="Loaded container 32d095257fba9ee50594280d8a0137b9d0c666290a4ef138c93160b695291f37"
time="2017-09-29T07:38:31.027389862Z" level=debug msg="Loaded container 33b5736a252565d309e160959ee6d75cfbe0d9b7378791750a4a30da9269f759"
time="2017-09-29T07:38:31.027648965Z" level=debug msg="Loaded container 33b9b62fe2bda19b8b2a4360156efcb183f244df01ce0f1799861eed84a6d6cd"
